NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Acrelândia,1200013,acrelandense,EDERALDO CAETANO DE SOUSA,1807948,15020,6.94,604,25277,27230,16119.75,
Assis Brasil,1200054,assis-brasiliense,ANTONIO BARBOSA DE SOUSA,4974175,7300,1.22,588,18177,17005,12134.14,
Brasiléia,1200104,brasileense,FERNANDA DE SOUZA HASSEM CESAR,3916502,25848,5.46,614,53415,43281,16728.68,
Bujari,1200138,bujariense,ROMUALDO DE SOUZA ARAUJO,3034868,10111,2.79,589,21294,16797,16704.34,
Capixaba,1200179,capixabense,JOSÉ AUGUSTO GOMES DA CUNHA,1701974,11456,5.17,575,22178,18125,16085.30,
Cruzeiro do Sul,1200203,cruzeirense,ILDERLEI SOUZA RODRIGUES CORDEIRO,8779403,87673,8.94,664,139636,131395,13263.80,
Epitaciolândia,1200252,epitaciolandense,JOÃO SEBASTIÃO FLORES DA SILVA,1654768,18122,9.13,653,31996,28162,16382.28,
Feijó,1200302,feijoense,KIEFER ROBERTO CAVALCANTE LIMA,27975427,34675,1.16,539,52017,44915,10544.48,
Jordão,1200328,jordãoense,ELSON DE LIMA FARIAS,5357282,8159,1.23,469,26243,22373,9688.79,
Mâncio Lima,1200336,mancio-limense,ISAAC DE SOUZA LIMA,5452853,18638,2.79,625,40273,33192,10796.46,
Manoel Urbano,1200344,manoel-urbanense,JOSÉ ALTANÍZIO TAUMATURGO SÁ,10633136,9336,0.75,551,20832,17501,14182.17,
Marechal Thaumaturgo,1200351,thaumaturguense,ISAAC DA SILVA PIYÃKO,8191692,18430,1.74,501,46854,44092,10084.48,
Plácido de Castro,1200385,placidiano,GEDEON SOUSA BARROS,1943850,19565,8.86,622,37476,32913,14392.66,
Porto Walter,1200393,portowaltense,JOSÉ ESTEPHAN BARBARY FILHO,6443830,11720,1.42,532,30740,29106,9853.18,
Rio Branco,1200401,rio-branquense,MARCUS ALEXANDRE MÉDICI AGUIAR VIANA DA,8834942,401155,38.03,727,884827,740733,21543.65,
Rodrigues Alves,1200427,rodriguesalvense,SEBASTIÃO SOUZA CORREIA,3076951,18504,4.68,567,40231,35059,10508.27,
Santa Rosa do Purus,1200435,santarosense,FRANCISCO DE ASSIS FERNANDES DA COSTA,6145612,6362,0.76,517,21385.93393,17139.14404,10150.15,
Senador Guiomard,1200450,guiomaense,ANDRE LUIS TAVARES DA CRUZ MAIA,2322030,22810,8.69,640,43306,39298,16162.26,
Sena Madureira,1200500,sena-madureirense,OSMAR SERAFIM DE ANDRADE,23753067,45177,1.60,603,75151,64407,11176.37,
Tarauacá,1200609,tarauacaense,MARILETE VITORINO DE SIQUEIRA,20171074,41976,1.76,539,71658,63519,10873.24,
Xapuri,1200708,xapuriense,FRANCISCO UBIRACY MACHADO DE VASCONCELOS,5347468,19048,3.01,599,35333,27154,12047.45,
Porto Acre,1200807,portoacrense,BENEDITO CAVALCANTE DAMASCENO,2604885,18180,5.71,576,30555,25482,13045.53,
Água Branca,2700102,água-branquense,JOSÉ CARLOS DE CARVALHO,468225,20162,42.62,549,48527,43342,6180.97,
Anadia,2700201,anadiense,JOSE CELINO RIBEIRO DE LIMA,186135,17564,91.96,568,60459,15189,7878.62,
Arapiraca,2700300,arapiraquense,ROGERIO AUTO TEOFILO,345655,230417,600.83,649,589893,541162,17245.95,
Atalaia,2700409,atalaiense,FRANCISCO LUIZ DE ALBUQUERQUE,533258,47000,83.82,561,110965,105758,14098.23,
Barra de Santo Antônio,2700508,barrense,EMANUELLA CORADO ACIOLI DE MOURA,131633,15792,102.79,557,42215,31191,10760.86,
Barra de São Miguel,2700607,barrense,JOSE MEDEIROS NICOLAU,76616,8264,98.86,615,34324,30000,18946.40,
Batalha,2700706,batalhense,MARINA THEREZA CINTRA DANTAS,319499,18455,53.21,594,48448.42544,43579.8163,8803.02,
Belém,2700805,belenense,ANA PAULA ANTERO SANTA ROSA BARBOSA,66655,4406,93.58,593,Não informado,Não informado,8036.87,
Belo Monte,2700904,belo-montense,CLAUDEVAL SANTOS SANTANA,333259,6696,21.04,517,22674,22434,9688.61,
Boca da Mata,2701001,matense,GUSTAVO DANTAS FEIJO,185973,27168,138.19,604,67279,71328,9670.16,
Branquinha,2701100,branquinhense,JAIRON MAIA FERNANDES NETO,165250,10529,63.63,513,32873,31876,36881.55,
Cacimbinhas,2701209,cacimbinhense,HUGO WANDERLEY CAJU,273767,10730,37.35,531,31968,31708,7276.71,
Cajueiro,2701308,cajueirense,ANTONIO PALMERY MELO NETO,94357,21194,164.24,562,59318,58018,7196.65,
Campestre,2701357,camprestrense,NIELSON MENDES DA SILVA,65910,6918,99.39,559,19684,20007,8046.53,
Campo Alegre,2701407,campo-alegrense,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,312708,56579,172.20,570,98838.18974,90782.84827,7627.57,
Campo Grande,2701506,campo-grandense,ARNALDO HIGINO LESSA,169988,9549,53.98,524,Não informado,Não informado,6823.91,
Canapi,2701605,canapiense,VINICIUS JOSE MARIANO DE LIMA,602778,17726,30.02,506,48041,46949,5647.40,
Capela,2701704,capelense,ADELMO MOREIRA CALHEIROS,257561,17124,70.39,573,49802,51060,10390.77,
Carneiros,2701803,carneirense,GERALDO NOVAIS AGRA FILHO,101853,9000,73.32,526,21801.98846,19845.0974,5819.47,
Chã Preta,2701902,chã-pretense,RITA COIMBRA CERQUEIRA TENÓRIO,169464,7319,41.34,575,28168,22980,9422.08,
Coité do Nóia,2702009,coitenense,JOSÉ DE SENA NETTO,88759,10744,123.44,533,29952,30176,7558.21,
Colônia Leopoldina,2702108,leopoldinense,MANUILSON ANDRADE SANTOS,207891,21575,96.29,517,30337.64634,46726.36684,10469.82,
Coqueiro Seco,2702207,coqueirense,MARIA DECELE DAMASO DE ALMEIDA,39608,5826,139.09,586,26354,24716,10296.80,
Coruripe,2702306,coruripense,JOAQUIM BELTRÃO SIQUEIRA,898626,56562,56.77,626,183316,166089,27183.71,
Craíbas,2702355,craibense,EDIEL BARBOSA LIMA,279546,24129,83.44,525,57050,51441,6450.88,
Delmiro Gouveia,2702405,delmirense,ERALDO JOAQUIM CORDEIRO,626690,51763,79.13,612,101821,108858,8737.53,
Dois Riachos,2702504,riachense,RAMON CAMILO SILVA,139850,11054,77.45,532,31647,28803,6282.18,
Estrela de Alagoas,2702553,estrelense,ARLINDO GARROTE DA SILVA NETO,260772,18153,66.41,534,56329,45959,5412.68,
Feira Grande,2702603,feira-grandense,FLÁVIO RANGEL APÓSTOLO LIRA,178055,22152,123.42,533,49390,42713,8126.09,
Feliz Deserto,2702702,feliz-desertense,ROSIANA LIMA BELTRÃO SIQUEIRA,109801,4729,47.31,565,19438,15754,22124.33,
Flexeiras,2702801,flexeirense,MARIA ISABEL COSTA SOUZA,333052,12773,36.99,527,Não informado,Não informado,9030.87,
Girau do Ponciano,2702900,girauense,DAVID RAMOS DE BARROS,514352,40588,73.11,536,90809,83607,7046.49,
Ibateguara,2703007,ibateguarense,MANOEL GERAERTES ALVES CRUZ,265312,15606,57.10,518,37188,34524,7695.55,
Igaci,2703106,igaciense,OLIVEIRO TORRES PIANCO,334754,25649,75.31,564,62795,59169,6427.14,
Igreja Nova,2703205,igreja-novense,VERÔNICA DANTAS LIMA E SILVA,427029,24408,54.49,568,65356,52717,13425.98,
Inhapi,2703304,inhapiense,JOSÉ CICERO VIEIRA,372020,18378,47.49,484,45353,43620,5548.08,
Jacaré dos Homens,2703403,jacarezeiro,JOSE FLORIANO BENTO DE MELO,149501,5288,38.03,583,19619,17951,8900.04,
Jacuípe,2703502,jacuipense,AMARO FERREIRA DA SILVA JUNIOR,208734,7036,33.26,548,34013,25353,9103.92,
Japaratinga,2703601,japaratinguense,KLEVER RÊGO LOUREIRO JUNIOR,85607,8317,90.22,570,17463.10893,17893.10868,12715.06,
Jaramataia,2703700,jaramataiense,JEFFERSON TORRES BARRETO,103714,5597,53.59,552,Não informado,Não informado,7670.77,
Jequiá da Praia,2703759,jequiaenses,JEANNYNE BELTRÃO LIMA SIQUEIRA,334930,11624,34.21,556,42095,42383,16911.20,
Joaquim Gomes,2703809,joaquimgomense,ADRIANO FERREIRA BARROS,298291,23903,75.68,531,67069,45151,8876.43,
Jundiá,2703908,jundiaense,CARLOS ANTONIO DE MORAES E LIMA FILHO,88794,4175,45.56,562,19608,17741,10454.84,
Junqueiro,2704005,junqueirense,CARLOS AUGUSTO LIMA DE ALMEIDA,247724,24731,98.66,575,Não informado,Não informado,14489.98,
Lagoa da Canoa,2704104,canoense,TAINA CORREA DE SA LUCIO DA SILVA,83621,17934,206.33,552,48851,44816,6907.22,
Limoeiro de Anadia,2704203,limoeirense,MARCELO RODRIGUES BARBOSA,309205,28495,85.48,580,60047,59155,17263.40,
Maceió,2704302,maceioense,RUI SOARES PALMEIRA,509552,1012382,1854.10,721,2341739,2223471,20853.41,
Major Isidoro,2704401,isidorense,MARIA SANTANA MARIANO SILVA CAMPOS,448849,19891,41.63,566,53868,52403,8147.72,
Maragogi,2704500,maragogiense,FERNANDO SERGIO LIRA NETO,334385,32369,86.06,574,84644,81930,15157.55,
Maravilha,2704609,maravilhense,MARIA DA CONCEIÇÃO RIBEIRO DE ALBUQUERQU,332373,9326,34.05,569,28366,26806,7037.56,
Marechal Deodoro,2704708,deodorense,CLAUDIO ROBERTO AYRES DA COSTA,332140,51364,138.62,642,210913,194940,31655.89,
Maribondo,2704807,maribondense,LEOPOLDO CESAR AMORIM PEDROSA,180107,13337,78.14,597,34915,30913,9550.07,
Mar Vermelho,2704906,mar-vermelhense,JULIANA LOPES DE FARIAS ALMEIDA,91741,3534,39.23,577,17735,15155,8632.67,
Mata Grande,2705002,mata-grandense,ERIVALDO DE MELO LIMA,914726,25226,27.20,504,57011,54811,6599.27,
