,ente,população,estado_do_processo,data_adesao
,ACRE,829.619, Sim ,11/4/2013
,Rio Branco,383.443 , 1 ,3/5/2013
,Acrelândia,14.366 , - , - 
,Assis Brasil,6.986 , - ,19/10/2012
,Brasiléia,24.765 , 1 ,12/8/2014
,Bujarí,9.664 , 1 ,24/7/2013
,Capixaba,11.136 , - , - 
,Cruzeiro do Sul,82.622 , 1 ,2/1/2013
,Epitaciolândia,17.340 , 1 ,22/1/2013
,Feijó,32.360 , - , - 
,Jordão,7.858 , 1 ,19/9/2013
,Mâncio Lima,17.910 , - , - 
,Manoel Urbano,8.886 , - , - 
,Marechal Thaumaturgo,17.897 , - , - 
,Plácido de Castro,18.510 , 1 ,12/9/2013
,Porto Acre,17.459 , 1 ,12/12/2014
,Porto Walter,11.353 , - , - 
,Rodrigues Alves,17.945 , - , - 
,Santa Rosa do Purus,6.230 , - , - 
,Sena Madureira,21.552 , - , - 
,Senador Guiomard,43.139 , - , - 
,Tarauacá,40.024 , 1 ,30/7/2014
,Xapuri,18.174 , 1 ,23/4/2013
,ALAGOAS,3.375.823, Sim  ,12/2/2014
,Maceió,1.029.129 , 1 ,16/8/2013
,Água Branca,20.467 , - ,
,Anadia,17.818 , 1 ,7/5/2014
,Arapiraca,234.185 , 1 ,2/1/2013
,Atalaia,47.744 , - ,
,Barra de Santo Antônio,16.064 , - ,
,Barra de São Miguel,8.401 , - ,
,Batalha,18.757 , - ,
,Belém,4.453 , - ,
,Belo Monte,6.797 , - ,
,Boca da Mata,27.590 , - ,
,Branquinha,10.675 , 1 ,19/4/2013
,Cacimbinha,10.897 , - ,
,Cajueiro,21.526 , - ,
,Campestre,7.024 , - ,
,Campo Alegre,57.548 , - ,
,Campo Grande,9.692 , - ,
,Canapi,17.983 , - ,
,Capela,17.354 , 1 ,21/3/2013
,Carneiros,9.155 , - ,
,Chã Preta,7.427 , - ,
,Coité do Nóia,10.888 , - ,
,Colônia Leopoldina,21.926 , 1 ,24/8/2017
,Coqueiro Seco,5.918 , - ,
,Coruripe,57.498 , 1 ,17/9/2013
,Craíbas,24.510 , - ,
,Delmiro Gouveia,52.597 , 1 ,29/2/2016
,Dois Riachos,11.214 , - ,
,Estrela de Alagoas,18.435 , - ,
,Feira Grande,22.481 , 1 ,7/11/2017
,Feliz Deserto,4.806 , 1 ,6/9/2013
,Flexeiras,12.966 , - ,
,Girau do Ponciano,41.279 , - ,
,Ibateguara,15.840 , - ,
,Igaci,26.022 , - ,
,Igreja Nova,24.793 , - ,
,Inhapi,18.652 , - ,
,Jacaré dos Homens,5.356 , 1 ,30/7/2014
,Jacuípe,7.135 , - ,
,Japaratinga,8.453 , - ,
,Jaramataia,5.676 , - ,
,Jequiá da Praia,11.782 , - ,
,Joaquim Gomes,24.280 , 1 ,7/8/2013
,Jundiá,4.231 , - ,
,Junqueiro,25.093 , 1 ,3/12/2013
,Lagoa da Canoa,18.175 , 1 ,16/8/2013
,Limoeiro de Anadia,28.953 , - ,
,Major Isidoro,20.200 , - ,
,Mar Vermelho,32.940 , - ,
,Maragogi,9.418 , 1 ,4/12/2015
,Maravilha,52.260 , - ,
,Marechal Deodoro,13.514 , - ,
,Maribondo,3.579 , - ,
,Mata Grande,25.589 , - ,
,Matriz de Camaragibe,25.012 , - ,
,Messias,17.988 , - ,
,Minador do Negrão,5.413 , - ,
,Monteirópolis,7.260 , - ,
,Murici,28.579 , - ,
,Novo Lino,12.821 , - ,
,Olho D'Água das Flores,21.767 , 1 ,7/7/2015
,Olho D'Água do Casado,9.459 , 1 ,8/6/2017
,Olho D'Água Grande,5.195 , - ,
,Olivença,11.772 , - ,
,Ouro Branco,11.635 , 1 ,15/1/2014
,Palestina,5.066 , - ,
,Palmeira dos Índios,74.208 , - ,
,Pão de Açúcar,24.792 , - ,
,Pariconha,10.684 , - ,
,Paripueira,13.252 , - ,
,Passo de Camaragibe,15.461 , - ,
,Paulo Jacinto,7.679 , 1 ,30/7/2014
,Penedo,64.497 , 1 ,17/9/2015
,Piaçabuçu,18.074 , 1 ,12/4/2013
,Pilar,35.552 , 1 ,2/12/2015
,Pindoba,2.953 , - ,
,Piranhas,25.298 , - ,
,Poço das Trincheiras,14.575 , 1 ,4/2/2013
,Porto Calvo,27.501 , 1 ,24/4/2015
,Porto de Pedras,7.965 , - ,
,Porto Real do Colégio,20.327 , - ,
,Quebrangulo,11.496 , - ,
,Rio Largo,76.019 , - ,
,Roteiro,6.774 , - ,
,Santa Luzia do Norte,7.386 , 1 ,19/10/2015
,Santana do Ipanema,48.232 , 1 ,24/9/2018
,Santana do Mundaú,10.899 , - ,
,São Brás,7.058 , - ,
,São José da Lage,24.226 , - ,
,São José da Tapera,32.626 , - ,
,São Luis do Quitunde,34.961 , - ,
,São Miguel dos Campos,61.827 , 1 ,7/7/2015
,São Miguel dos Milagres,8.022 , - ,
,São Sebastião,34.551 , - ,
,Satuba,13.949 , - ,
,Senador Rui Palmeira,14.036 , - ,
,Tanque D'Arca,6.270 , - ,
,Taquarana,20.205 , - ,
,Teotônio Vilela,44.666 , 1 ,3/4/2014
,Traipu,28.070 , - ,
,União dos Palmares,66.477 , 1 ,13/11/2013
,Viçosa,26.143 , - ,
,AMAPÁ,797.722, Sim ,18/4/2013
,Macapá,474.706 , 1 ,21/3/2013
,Amapá,8.757 , - , - 
,Calçoene,10.525 , 1 ,20/8/2013
,Cutias,5.637 , - , - 
,Ferreira Gomes,7.270 , - , - 
,Itaubal,5.172 , - , - 
,Laranjal do Jari,47.554 , 1 ,30/11/2017
,Mazagão,20.387 , - , - 
,Oiapoque,25.514 , 1 ,3/5/2013
,Pedra Branca do Amaparí,15.125 , - , - 
,Porto Grande,20.611 , - , - 
,Pracuúba,4.779 , - , - 
,Santana,115.471 , 1 ,30/4/2018
,Serra do Navio,5.111 , - , - 
,Tartarugalzinho,16.112 , 1 ,13/11/2013
,Vitória do Jarí,14.991 , - , - 
,AMAZONAS,4.063.614, Sim ,18/4/2013
,Manaus,2.130.264 , 1 ,23/4/2013
,Alvarães,15.908 , - , - 
,Amaturá,11.242 , - , - 
,Anamã,12.978 , - , - 
,Anori,20.196 , - , - 
,Apuí,21.406 , - , - 
,Atalaia do Norte,19.054 , - , - 
,Autazes,38.454 , - , - 
,Barcelos,27.743 , - , - 
,Barreirinha,31.542 , - , - 
,Benjamin Constant,41.329 , 1 ,30/11/2017
,Beruri,18.978 , 1 ,15/1/2014
,Boa Vista do Ramos,18.483 , - , - 
,Boca do Acre,34.176 , 1 ,5/9/2013
,Borba,40.464 , - , - 
,Caapiranga,12.820 , - , - 
,Canutama,15.490 , - , - 
,Carauari,28.337 , - , - 
,Careiro,37.399 , - , - 
,Careiro da Várzea,29.190 , - , - 
,Coari,84.762 , - , - 
,Codajás,27.817 , - , - 
,Eirunepé,34.888 , - , - 
,Envira,19.492 , - , - 
,Fonte Boas,19.669 , - , - 
,Guajará,16.339 , - , - 
,Humaitá,53.383 , 1 ,23/4/2013
,Ipixuna,28.299 , - , - 
,Iranduba,47.407 , 1 ,24/7/2013
,Itacoatiara,99.854 , - , - 
,Itamarati,8.128 , - , - 
,Itapiranga,9.125 , - , - 
,Japurá,4.205 , - , - 
,Juruá,13.956 , - , - 
,Jutaí,15.824 , - , - 
,Lábrea,44.861 , - , - 
,Manacapuru,96.460 , 1 ,6/9/2013
,Manaquiri,30.222, - , - 
,Manicoré,54.708 , 1 ,23/11/2017
,Maraã,18.531 , - , - 
,Maués,62.212 , 1 ,27/10/2015
,Nhamundá,20.902 , 1 ,3/5/2013
,Nova Olinda do Norte,36.431 , - , - 
,Novo Airão,18.586 , 1 ,21/8/2014
,Novo Aripuanã,25.112 , - , - 
,Parintins,113.832 , - , - 
,Pauini,19.597 , - , - 
,Presidente Figueiredo,34.574 , 1 ,25/11/2013
,Rio Preto da Eva,32.001 , 1 ,3/12/2013
,Santa Isabel do Rio Negro,23.765, - , - 
,Santo Antônio do Içá,23.075 , - , - 
,São Gabriel da Cachoeira,44.553 , 1 ,16/9/2014
,São Paulo de Olivença,38.047 , - , - 
,São Sebastião do Uatumã,13.421 , - , - 
,Silves,9.211 , - , - 
,Tabatinga,63.635 , - , - 
